item,user,board,
360,-1,16,
378,127,15,
375,127,15,
379,127,15,
297,-1,3,
394,-1,17,
397,-1,17,
363,241,16,
356,241,16,
359,-1,16,
363,-1,16,
366,-1,16,
356,-1,16,
357,-1,16,
357,-1,16,
364,-1,16,
365,-1,16,
366,-1,16,
365,-1,16,
363,-1,16,
385,127,21,
397,-1,17,
397,-1,17,
305,-1,3,
365,-1,16,
385,-1,21,
385,-1,21,
385,-1,21,
397,-1,17,
398,-1,17,
398,-1,17,
398,-1,17,
394,-1,17,
398,-1,17,
394,-1,17,
315,-1,18,
315,-1,18,
315,-1,18,
356,-1,16,
399,-1,17,
396,-1,17,
371,-1,17,
368,-1,17,
373,-1,17,
399,-1,17,
398,-1,17,
397,-1,17,
398,-1,17,
396,-1,17,
395,-1,17,
395,-1,17,
395,-1,17,
394,-1,17,
400,-1,17,
324,-1,17,
325,-1,17,
399,-1,17,
398,-1,17,
396,-1,17,
395,-1,17,
398,-1,17,
373,-1,17,
399,-1,17,
397,-1,17,
395,-1,17,
325,-1,17,
372,-1,17,
397,-1,17,
266,127,11,
307,127,11,
327,127,11,
268,127,11,
268,-1,11,
364,127,16,
365,127,16,
364,-1,16,
416,127,17,
359,-1,16,
364,-1,16,
359,-1,16,
356,-1,16,
358,-1,16,
424,-1,16,
430,-1,16,
425,-1,16,
429,-1,16,
347,-1,14,
410,131,18,
402,131,18,
388,-1,21,
393,-1,21,
383,-1,21,
387,-1,21,
389,-1,21,
327,-1,15,
266,-1,15,
423,257,17,
393,-1,21,
388,-1,21,
383,-1,21,
429,-1,16,
387,-1,21,
387,-1,21,
423,131,17,
349,127,12,
349,127,12,
402,-1,18,
388,259,21,
393,259,21,
383,259,21,
390,259,21,
438,-1,17,
421,-1,17,
437,-1,22,
437,-1,22,
441,-1,22,
437,-1,22,
437,-1,22,
437,-1,22,
440,-1,22,
441,-1,22,
433,-1,22,
433,-1,22,
434,-1,22,
434,-1,22,
435,-1,22,
434,269,22,
266,-1,14,
437,-1,22,
440,223,22,
440,223,22,
440,223,22,
440,223,22,
440,223,22,
440,223,22,
440,223,22,
441,223,22,
440,223,22,
440,223,22,
434,223,22,
437,-1,22,
440,223,22,
440,-1,22,
440,190,22,
440,190,22,
433,-1,22,
272,-1,13,
421,-1,17,
437,-1,22,
266,-1,14,
287,-1,1,
327,-1,1,
349,-1,14,
353,-1,14,
418,-1,14,
437,-1,22,
437,-1,22,
307,-1,14,
307,-1,14,
307,-1,13,
272,-1,13,
307,-1,13,
445,-1,16,
446,-1,16,
439,-1,17,
418,-1,14,
418,-1,14,
266,-1,14,
327,-1,1,
327,-1,1,
272,383,15,
272,383,15,
327,383,15,
273,383,15,
289,383,15,
287,-1,15,
266,-1,15,
266,-1,15,
327,-1,15,
287,-1,15,
461,126,19,
461,126,19,
461,126,19,
461,126,19,
461,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
460,126,19,
458,126,19,
457,126,19,
454,126,19,
423,-1,17,
416,-1,17,
416,-1,17,
421,-1,17,
417,-1,17,
421,-1,17,
438,-1,17,
421,-1,17,
422,-1,17,
438,-1,17,
409,-1,18,
408,-1,18,
412,-1,18,
406,-1,18,
406,-1,18,
404,-1,18,
409,-1,18,
408,-1,18,
407,-1,18,
412,-1,18,
408,-1,18,
421,-1,17,
417,-1,17,
438,-1,17,
416,-1,17,
417,-1,17,
289,-1,15,
438,-1,17,
423,-1,17,
416,-1,17,
422,-1,17,
423,-1,17,
266,-1,12,
422,-1,17,
421,-1,17,
423,-1,17,
423,-1,17,
456,131,19,
456,131,19,
455,131,19,
452,-1,19,
410,-1,18,
412,-1,18,
486,-1,21,
486,-1,21,
417,-1,17,
417,-1,17,
421,-1,17,
423,-1,17,
423,-1,17,
417,-1,17,
416,488,17,
416,488,17,
422,488,17,
422,488,17,
423,488,17,
423,488,17,
421,488,17,
421,488,17,
423,488,17,
438,488,17,
438,488,17,
438,-1,17,
482,-1,17,
484,-1,17,
479,-1,17,
480,-1,17,
438,-1,17,
481,-1,17,
436,-1,22,
423,-1,17,
483,-1,17,
481,-1,17,
480,-1,17,
481,-1,17,
483,-1,17,
484,-1,17,
480,-1,17,
423,-1,17,
483,-1,17,
480,-1,17,
484,-1,17,
484,-1,17,
483,-1,17,
482,-1,17,
481,-1,17,
480,-1,17,
479,-1,17,
479,-1,17,
483,-1,17,
482,-1,17,
479,-1,17,
423,-1,17,
484,-1,17,
483,-1,17,
480,-1,17,
481,-1,17,
367,-1,12,
367,-1,12,
367,-1,12,
266,-1,12,
483,-1,17,
484,507,17,
484,507,17,
482,507,17,
482,507,17,
480,507,17,
480,507,17,
481,-1,17,
497,509,21,
497,509,21,
499,509,21,
499,509,21,
500,509,21,
500,509,21,
502,509,21,
502,509,21,
506,509,21,
506,509,21,
508,509,21,
509,509,21,
509,509,21,
503,509,21,
268,-1,15,
307,-1,15,
266,-1,15,
308,-1,15,
308,-1,15,
287,-1,15,
273,-1,15,
289,-1,15,
453,-1,19,
483,126,17,
483,126,17,
482,-1,17,
482,-1,17,
479,-1,17,
479,-1,17,
481,126,17,
481,126,17,
482,-1,17,
482,-1,17,
490,126,18,
490,126,18,
515,-1,24,
515,-1,24,
504,329,21,
504,329,21,
272,-1,15,
266,-1,15,
266,-1,15,
308,-1,15,
273,-1,15,
289,-1,15,
272,-1,15,
308,-1,15,
327,-1,15,
273,-1,15,
268,-1,15,
266,-1,15,
308,-1,15,
327,-1,15,
273,-1,15,
268,-1,15,
308,-1,15,
273,-1,15,
481,-1,17,
481,-1,17,
481,-1,17,
481,-1,17,
481,-1,17,
481,-1,17,
481,-1,17,
483,536,17,
482,-1,17,
266,-1,12,
468,126,20,
468,126,20,
482,-1,17,
482,-1,17,
479,-1,17,
479,-1,17,
482,-1,17,
483,-1,17,
481,-1,17,
273,-1,1,
327,-1,1,
287,-1,1,
308,-1,1,
266,-1,1,
287,-1,1,
266,-1,1,
266,-1,1,
287,-1,1,
287,-1,1,
480,-1,17,
481,-1,17,
479,-1,17,
484,-1,17,
484,-1,17,
469,190,20,
469,190,20,
482,-1,17,
480,-1,17,
484,-1,17,
482,-1,17,
266,-1,15,
266,-1,15,
484,-1,17,
484,-1,17,
367,-1,1,
516,-1,1,
513,-1,1,
516,-1,1,
516,-1,1,
480,-1,17,
479,-1,17,
418,-1,1,
418,-1,1,
353,-1,1,
307,555,1,
353,-1,1,
418,-1,1,
307,-1,1,
516,-1,1,
307,561,1,
347,561,1,
367,561,1,
353,561,1,
353,-1,1,
350,-1,1,
347,-1,1,
516,-1,1,
266,-1,1,
266,-1,1,
516,-1,1,
418,564,1,
347,563,1,
347,563,1,
347,-1,1,
367,-1,1,
307,-1,1,
347,-1,1,
418,-1,1,
418,-1,1,
418,-1,1,
367,-1,1,
367,-1,1,
350,-1,1,
418,-1,1,
353,-1,1,
353,-1,1,
307,541,1,
266,541,1,
266,125,1,
353,-1,1,
353,-1,1,
353,-1,1,
516,-1,1,
266,-1,1,
266,-1,1,
266,-1,1,
266,-1,1,
516,-1,1,
516,-1,1,
367,-1,1,
418,-1,1,
367,-1,1,
353,-1,1,
347,-1,1,
347,-1,1,
353,-1,1,
353,-1,1,
353,-1,1,
513,-1,1,
347,-1,1,
418,-1,1,
307,-1,1,
347,-1,1,
513,-1,1,
418,-1,1,
367,-1,1,
350,-1,1,
266,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
418,271,1,
367,-1,1,
463,-1,20,
347,-1,1,
347,-1,1,
479,-1,17,
418,-1,1,
516,-1,1,
513,-1,1,
513,-1,1,
367,-1,1,
481,-1,17,
483,-1,17,
266,-1,14,
439,-1,17,
483,-1,17,
439,-1,17,
439,-1,17,
266,-1,1,
479,-1,17,
266,-1,1,
503,-1,21,
522,602,18,
522,602,18,
522,602,18,
522,602,18,
522,602,18,
520,602,18,
520,602,18,
520,602,18,
521,602,18,
520,602,18,
521,602,18,
519,602,18,
519,602,18,
519,602,18,
521,602,18,
519,602,18,
266,-1,1,
418,344,1,
418,344,1,
513,344,1,
367,-1,1,
353,-1,1,
481,-1,17,
268,-1,15,
544,-1,16,
547,-1,16,
547,-1,16,
550,-1,16,
550,-1,16,
551,-1,16,
552,-1,16,
553,-1,16,
553,-1,16,
548,-1,16,
482,-1,17,
479,-1,17,
483,-1,17,
266,-1,15,
268,-1,15,
266,-1,15,
327,-1,13,
266,-1,1,
506,297,21,
501,297,21,
565,-1,17,
353,-1,12,
266,-1,12,
347,-1,12,
307,-1,12,
268,-1,15,
266,-1,1,
367,-1,1,
266,-1,1,
266,-1,1,
268,-1,15,
579,-1,18,
579,-1,18,
498,297,21,
498,297,21,
508,297,21,
327,-1,15,
327,-1,15,
581,-1,15,
353,-1,12,
513,-1,12,
513,-1,1,
593,-1,1,
594,-1,1,
594,-1,1,
367,-1,1,
594,-1,1,
516,-1,1,
513,-1,1,
367,-1,1,
516,-1,1,
513,-1,1,
594,-1,1,
516,-1,1,
307,-1,1,
636,126,16,
636,126,16,
628,-1,21,
632,-1,21,
526,-1,21,
538,-1,21,
584,-1,21,
586,-1,21,
588,-1,21,
643,126,1,
643,126,1,
526,-1,21,
590,126,1,
516,-1,1,
594,-1,1,
594,-1,1,
367,-1,1,
367,-1,1,
350,-1,1,
350,-1,1,
516,-1,1,
516,-1,1,
637,-1,1,
637,-1,1,
643,-1,1,
643,-1,1,
307,-1,1,
643,-1,1,
643,-1,1,
513,131,1,
567,-1,17,
350,-1,1,
353,-1,1,
418,-1,1,
353,-1,1,
513,-1,1,
516,-1,1,
350,-1,1,
350,-1,1,
638,-1,1,
638,-1,1,
639,-1,11,
639,-1,11,
639,-1,11,
639,126,11,
639,-1,11,
640,126,17,
638,126,13,
651,-1,18,
598,-1,24,
651,-1,18,
350,-1,1,
651,-1,18,
640,-1,15,
640,-1,15,
640,-1,15,
638,651,11,
639,651,17,
640,651,15,
643,-1,1,
353,-1,1,
638,-1,1,
638,555,1,
307,555,1,
590,555,1,
367,555,1,
353,555,1,
353,555,1,
638,555,1,
638,555,1,
350,555,1,
516,555,1,
594,555,1,
638,555,1,
350,555,1,
516,555,1,
594,555,1,
594,555,1,
307,555,1,
637,555,1,
590,555,1,
643,555,1,
513,555,1,
418,555,1,
367,555,1,
367,555,1,
353,555,1,
651,-1,18,
353,366,1,
350,555,1,
516,555,1,
637,555,1,
590,555,1,
637,-1,1,
637,-1,1,
367,-1,1,
643,-1,1,
594,-1,1,
594,-1,1,
580,-1,18,
580,-1,18,
367,656,1,
513,344,1,
307,-1,1,
643,-1,1,
513,-1,1,
418,-1,1,
513,-1,1,
367,-1,1,
350,-1,1,
637,-1,1,
513,-1,1,
590,-1,1,
590,-1,1,
637,-1,1,
594,271,1,
307,-1,1,
643,271,1,
516,-1,1,
643,-1,1,
516,-1,1,
516,-1,1,
590,-1,1,
418,-1,1,
353,-1,1,
637,-1,1,
580,-1,18,
639,-1,17,
638,-1,11,
651,-1,18,
640,-1,15,
642,-1,13,
639,-1,17,
638,-1,11,
638,-1,11,
640,-1,15,
642,-1,13,
638,-1,11,
639,-1,17,
642,-1,13,
638,-1,11,
639,-1,17,
639,-1,17,
640,-1,15,
647,-1,20,
642,-1,13,
638,-1,11,
639,-1,17,
642,-1,13,
594,-1,1,
594,-1,1,
571,-1,18,
639,651,15,
639,651,15,
639,651,15,
638,651,17,
582,-1,12,
638,-1,12,
638,-1,12,
582,-1,12,
642,651,11,
582,-1,12,
638,-1,11,
639,-1,17,
642,-1,13,
350,-1,12,
657,-1,21,
657,-1,21,
641,-1,14,
641,-1,14,
645,-1,19,
657,-1,21,
645,-1,19,
662,-1,24,
662,-1,24,
638,-1,11,
639,-1,17,
639,651,17,
638,-1,11,
651,-1,18,
640,-1,15,
642,-1,13,
640,-1,15,
594,-1,1,
582,-1,12,
353,-1,1,
644,-1,19,
644,-1,19,
581,-1,15,
639,651,15,
642,651,11,
639,651,15,
639,651,15,
642,651,11,
642,651,11,
641,-1,15,
641,-1,15,
641,676,15,
641,676,15,
641,651,15,
641,651,15,
639,651,15,
640,651,17,
640,651,17,
567,-1,17,
657,-1,21,
639,651,15,
639,651,15,
642,651,11,
640,651,17,
641,651,15,
641,651,15,
639,651,15,
640,651,17,
641,651,15,
640,651,17,
594,-1,1,
594,-1,1,
594,-1,1,
594,-1,1,
594,-1,1,
594,-1,1,
594,-1,1,
594,-1,1,
594,-1,1,
594,-1,1,
639,651,15,
640,651,17,
640,651,17,
640,651,17,
639,651,15,
639,-1,15,
590,-1,15,
582,-1,15,
643,-1,1,
666,464,18,
594,-1,1,
594,-1,1,
659,-1,21,
640,651,17,
640,651,17,
641,651,15,
639,651,15,
640,651,17,
640,651,17,
641,651,15,
641,651,15,
642,651,11,
640,651,17,
640,651,17,
640,651,17,
640,651,17,
639,651,15,
639,651,15,
640,651,17,
594,-1,1,
594,-1,1,
594,-1,1,
640,-1,1,
641,-1,14,
657,-1,21,
657,-1,21,
641,-1,14,
640,-1,11,
642,-1,15,
642,-1,15,
640,-1,11,
582,-1,12,
644,-1,19,
648,-1,20,
643,-1,1,
418,-1,1,
418,-1,1,
643,-1,1,
641,-1,15,
640,-1,17,
639,-1,11,
644,-1,19,
643,-1,1,
643,-1,1,
637,-1,1,
643,-1,1,
307,-1,1,
674,-1,17,
641,-1,15,
641,-1,15,
639,-1,17,
639,-1,17,
639,-1,17,
642,-1,13,
638,-1,11,
638,-1,11,
641,-1,15,
638,-1,11,
638,-1,17,
638,-1,17,
641,-1,15,
651,-1,18,
641,698,15,
641,698,15,
641,698,15,
601,686,24,
661,686,24,
661,686,24,
661,686,24,
671,-1,17,
638,-1,17,
638,-1,17,
582,-1,12,
681,-1,1,
684,-1,1,
683,-1,1,
642,-1,15,
641,-1,15,
681,-1,1,
683,-1,1,
662,-1,24,
662,-1,24,
649,707,18,
649,707,18,
641,-1,15,
641,-1,15,
642,-1,15,
656,707,21,
644,707,19,
644,707,19,
644,707,19,
644,707,19,
644,707,19,
619,-1,11,
327,-1,11,
582,-1,13,
683,-1,13,
590,-1,13,
683,-1,13,
327,-1,11,
640,-1,1,
665,-1,24,
665,-1,24,
665,-1,24,
652,-1,18,
652,-1,18,
652,-1,18,
652,-1,18,
582,-1,13,
644,-1,19,
644,-1,19,
655,-1,21,
655,-1,21,
639,-1,14,
639,-1,14,
639,-1,15,
639,-1,15,
641,-1,13,
641,-1,13,
638,-1,17,
638,-1,17,
682,-1,11,
642,-1,11,
642,-1,11,
646,-1,20,
646,-1,20,
642,707,11,
639,714,15,
638,714,17,
641,714,13,
646,714,20,
641,-1,15,
648,-1,19,
570,-1,19,
570,-1,19,
648,-1,19,
570,-1,19,
648,-1,19,
641,-1,15,
641,-1,15,
648,-1,19,
570,-1,19,
641,-1,15,
638,-1,14,
570,-1,19,
570,-1,19,
570,-1,19,
655,-1,21,
655,-1,21,
664,-1,24,
664,-1,24,
664,-1,24,
651,-1,18,
651,-1,18,
651,-1,18,
641,-1,11,
641,-1,11,
595,-1,15,
642,-1,17,
642,-1,17,
640,-1,13,
640,-1,13,
640,-1,13,
638,-1,15,
638,-1,15,
641,-1,11,
641,-1,11,
645,-1,20,
645,-1,20,
615,-1,20,
645,-1,20,
645,-1,20,
645,-1,20,
645,-1,20,
640,-1,13,
569,-1,19,
570,126,19,
569,-1,19,
684,-1,13,
682,126,13,
582,-1,13,
645,-1,20,
641,-1,11,
570,-1,19,
642,-1,17,
641,-1,11,
664,-1,24,
655,-1,21,
648,-1,19,
651,-1,18,
642,-1,17,
645,-1,20,
683,-1,1,
683,-1,1,
685,-1,18,
642,-1,15,
642,-1,15,
642,-1,15,
641,-1,17,
641,-1,17,
642,-1,15,
641,-1,17,
640,-1,11,
640,-1,11,
650,-1,18,
650,-1,18,
640,-1,11,
642,-1,15,
642,-1,15,
650,-1,18,
650,-1,18,
640,-1,17,
645,-1,20,
640,-1,13,
657,-1,21,
657,-1,21,
594,-1,1,
594,-1,1,
691,126,11,
619,-1,11,
432,-1,11,
327,-1,11,
641,-1,11,
353,-1,1,
433,-1,22,
433,-1,22,
433,-1,22,
595,126,11,
595,-1,11,
